time_h,bc_rate_frac,P_bar,T_C,subcooling_C,holdup,v_m_mps,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
1.4128,1,120.49,25.549,-21.25,0.43205,2.2936,0.13082,0,0,0.0090799
1.4189,1,120.5,25.579,-21.279,0.43535,2.2916,0.13083,0,0,0.0091762
1.4249,1,120.52,25.609,-21.308,0.43904,2.2896,0.13082,0,0,0.0092797
1.431,1,120.53,25.639,-21.337,0.44311,2.2873,0.13082,0,0,0.0093922
1.4371,1,120.54,25.67,-21.367,0.44756,2.2851,0.13082,0,0,0.0095126
1.4432,1,120.55,25.7,-21.397,0.45236,2.283,0.13082,0,0,0.0096396
1.4494,1,120.56,25.731,-21.427,0.45748,2.2812,0.13082,0,0,0.009772
1.4555,1,120.57,25.762,-21.457,0.46288,2.2797,0.13082,0,0,0.0099085
1.4616,1,120.58,25.792,-21.487,0.4685,2.2782,0.13082,0,0,0.010048
1.4678,1,120.59,25.823,-21.517,0.47427,2.2769,0.13082,0,0,0.010189
1.4739,1,120.59,25.855,-21.548,0.48014,2.2745,0.13082,0,0,0.010336
1.48,1,120.6,25.886,-21.578,0.48602,2.2716,0.13081,0,0,0.010489
1.4862,1,120.62,25.917,-21.609,0.49181,2.2683,0.13081,0,0,0.010644
1.4923,1,120.63,25.948,-21.639,0.49739,2.265,0.13081,0,0,0.0108
1.4984,1,120.65,25.979,-21.669,0.50263,2.2617,0.13082,0,0,0.010952
1.5045,1,120.66,26.01,-21.699,0.50738,2.2588,0.13082,0,0,0.011096
1.5106,1,120.68,26.041,-21.729,0.51145,2.2562,0.13082,0,0,0.011227
1.5166,1,120.7,26.072,-21.759,0.51466,2.2543,0.13082,0,0,0.01134
1.5227,1,120.73,26.102,-21.788,0.51693,2.2461,0.13083,0,0,0.011467
1.5287,1,120.77,26.132,-21.815,0.51814,2.2344,0.13085,0,0,0.011611
1.5346,1,120.82,26.162,-21.842,0.51823,2.2251,0.13086,0,0,0.011743
1.5406,1,120.87,26.191,-21.868,0.51722,2.2183,0.13088,0,0,0.011851
1.5466,1,120.92,26.221,-21.895,0.51515,2.2165,0.1309,0,0,0.011914
1.5525,1,120.95,26.25,-21.922,0.51216,2.2194,0.13091,0,0,0.011925
1.5585,1,120.97,26.279,-21.95,0.50838,2.2263,0.13091,0,0,0.01188
1.5644,1,120.97,26.308,-21.979,0.504,2.237,0.13091,0,0,0.011782
1.5703,1,120.95,26.337,-22.009,0.49916,2.2514,0.13089,0,0,0.011631
1.5762,1,120.92,26.366,-22.04,0.49404,2.2689,0.13087,0,0,0.011433
1.5821,1,120.87,26.395,-22.073,0.4888,2.2878,0.13084,0,0,0.011199
1.5879,1,120.81,26.425,-22.106,0.48359,2.3066,0.13081,0,0,0.010941
1.5938,1,120.75,26.454,-22.139,0.47854,2.3233,0.13077,0,0,0.010677
1.5996,1,120.69,26.484,-22.173,0.47375,2.3365,0.13074,0,0,0.010422
1.6054,1,120.63,26.514,-22.206,0.46931,2.3461,0.13071,0,0,0.010185
1.6113,1,120.57,26.544,-22.24,0.46527,2.3524,0.13067,0,0,0.0099728
1.6171,1,120.52,26.574,-22.272,0.46167,2.3559,0.13065,0,0,0.0097867
1.623,1,120.48,26.603,-22.305,0.45853,2.3573,0.13062,0,0,0.0096268
